,R1,R2,R3,R4,R5,R6,R7,R8
agaV,0.586540211223,0.567581384836,0.5552227930420000,0.5596223076510000,0.552492244075,0.5340048207990000,0.5418392867550000,0.545793096404
gltK,0.522746224155,0.517181240055,0.516337629671,0.511426564244,0.506786153443,0.508929752676,0.494191054213,0.496190637752
gspF,0.573838091905,0.5665186206580000,0.557016312759,0.553046674104,0.544416638445,0.542189969539,0.531656793808,0.532219015964
mtlD,0.573325415754,0.5749281246020000,0.559922446708,0.569329402177,0.556148850985,0.566706664655,0.550619391277,0.560034423129
rarD,0.558959075722,0.551214045779,0.537296726616,0.553154035875,0.55273675916,0.530584559496,0.542240216449,0.5444904545920000
rsd,0.566201271905,0.5668227612560000,0.564878180193,0.5632886020720000,0.5586928269130000,0.548089505949,0.547695246016,0.559546468697
uxaB,0.615952559678,0.609836624773,0.592089768671,0.595680085614,0.589282554504,0.582222552501,0.5829509228460000,0.583468417445
MG-WT,0.551470435127,0.568229922842,0.546882018481,0.539740970334,0.5326893194560000,0.538371983457,0.534184915492,0.533910546841
yagS,0.5727105581200000,0.5774165952120000,0.566019774656,0.5734406752210000,0.5589662071730000,0.567076731474,0.563635220713,0.566774108024
atos,0.49331052372200000,0.7513865777,0.496033078071,0.496428140309,0.498469678481,0.489440195122,0.489673377604,0.49230713241
bglF,0.544284802661,0.511805265575,0.512784802049,0.499278162614,0.504532165956,0.491901381907,0.493176509652,0.484504206872
dcuA,0.55028109189,0.5414841938140000,0.540092577845,0.52646862261,0.522414351982,0.511247316671,0.5127773173610000,0.506861886016
eptA,0.516118328989,0.507738020638,0.446989726382,0.508962944838,0.503956586567,0.49404697434000000,0.502663329032,0.49436629920900000
eutQ,0.508601441256,0.5016714066720000,0.490537082901,0.501248518027,0.501154066126,0.494944773688,0.49435288237500000,0.461938610726
flgD,0.519597728648,0.5149087039970000,0.516867337829,0.502340886934,0.502663279344,0.496272095096,0.48093642550100000,0.49184843834700000
glf,0.52904849495,0.507778775265,0.48393323080600000,0.49745409876900000,0.48721910408300000,0.48419819294700000,0.485978130022,0.471777364911
gltL,0.535287726399,0.494935121674,0.495029333914,0.48695265030100000,0.480080607987,0.44666524184200000,0.45934934038900000,0.466380555882
gnsA,0.541455380747,0.512953829023,0.523046320195,0.522644294427,0.518416646885,0.519490180969,0.512075911596,0.510657454356
cstA,0.527806783867,0.470844912052,0.407691261387,0.5043693951820000,0.491763925766,0.472389100492,0.482744941156,0.47341060545
dcp,0.547999823342,0.5606847558720000,0.5490926313210000,0.536340029566,0.538096206269,0.523775744894,0.5282852929240000,0.5408989023050000
